Ano,Trimestre,Departamento,Municipio,N Accesos fijos a internet,poblacion Dane,Indice
2018,3,ANTIOQUIA,ABRIAQUI,73,2695,0.0271
2019,4,NORTE DE SANTANDER,CHITAGA,104,12042,0.0086
2019,3,CUNDINAMARCA,TOCAIMA,914,16136,0.0566
2018,4,QUINDIO,LA TEBAIDA,3789,33451,0.1133
2020,1,CASANARE,SABANALARGA,25,3569,0.007
2018,3,CAUCA,ALMAGUER,53,18449,0.0029
2018,3,ANTIOQUIA,YONDO,928,19040,0.0487
2019,4,BOYACA,TIBANA,99,9085,0.0109
2019,1,CHOCO,RIO QUITO,1195,8355,0.143
2018,3,LA GUAJIRA,URUMITA,400,10985,0.0364
2018,4,MAGDALENA,CHIBOLO,31,21862,0.0014
2019,2,CUNDINAMARCA,EL COLEGIO,721,25047,0.0288
2019,2,CAQUETA,VALPARAISO,70,6968,0.01
2019,4,TOLIMA,RONCESVALLES,28,5467,0.0051
2019,2,CAUCA,SOTARA,49,14079,0.0035
2019,3,CORDOBA,PUERTO ESCONDIDO,192,24036,0.008
2019,2,CESAR,PAILITAS,22,19183,0.0011
2018,4,VALLE DEL CAUCA,EL DOVIO,231,8886,0.026
2019,1,ANTIOQUIA,SAN ROQUE,1476,21533,0.0685
2019,1,CORDOBA,PUEBLO NUEVO,1062,36112,0.0294
2018,4,META,BARRANCA DE UPIA,379,6440,0.0589
2019,3,SANTANDER,RIONEGRO,233,26746,0.0087
2019,1,BOYACA,QUIPAMA,103,4939,0.0209
2018,4,TOLIMA,FALAN,134,7693,0.0174
2019,2,CAUCA,PATIA,954,37183,0.0257
2019,4,MAGDALENA,EL RETEN,13,20455,6e-04
2019,4,CALDAS,AGUADAS,248,22907,0.0108
2020,1,PUTUMAYO,VILLAGARZON,300,24096,0.0125
2018,4,CORDOBA,PURISIMA,48,17206,0.0028
2019,2,ANTIOQUIA,BETULIA,768,15736,0.0488
2019,2,CHOCO,CONDOTO,422,12464,0.0339
2018,4,TOLIMA,AMBALEMA,342,6657,0.0514
2019,1,NARINO,FUNES,133,7168,0.0186
2018,4,CUNDINAMARCA,QUIPILE,23,6291,0.0037
2018,3,NORTE DE SANTANDER,TOLEDO,85,15440,0.0055
2019,3,NORTE DE SANTANDER,RAGONVALIA,32,6149,0.0052
2019,3,NARINO,EL ROSARIO,15,12169,0.0012
2019,4,CUNDINAMARCA,QUEBRADANEGRA,71,4807,0.0148
2019,3,ANTIOQUIA,ANGOSTURA,378,11462,0.033
2018,3,SUCRE,BUENAVISTA,108,10441,0.0103
2019,3,CORDOBA,LORICA,6039,114666,0.0527
2020,1,TOLIMA,DOLORES,40,8185,0.0049
2019,3,MAGDALENA,NUEVA GRANADA,18,20485,9e-04
2019,2,BOLIVAR,RIO VIEJO,249,10638,0.0234
2018,4,NORTE DE SANTANDER,LABATECA,68,6268,0.0108
2020,1,LA GUAJIRA,MAICAO,11261,185072,0.0608
2018,4,CUNDINAMARCA,NOCAIMA,166,6092,0.0272
2019,3,ANTIOQUIA,GIRALDO,204,5652,0.0361
2019,3,SANTANDER,GIRON,26742,166843,0.1603
2020,1,CUNDINAMARCA,GACHETA,128,8539,0.015
2018,3,NARINO,TANGUA,151,13507,0.0112
2019,1,ANTIOQUIA,PEQUE,236,8186,0.0288
2019,3,BOYACA,EL COCUY,138,4150,0.0333
2018,4,SANTANDER,CHIPATA,37,5075,0.0073
2019,2,ANTIOQUIA,EBEJICO,581,12108,0.048
2020,1,ANTIOQUIA,ARGELIA,361,7545,0.0478
2019,4,BOYACA,SOCHA,66,8018,0.0082
2019,2,CUNDINAMARCA,VILLETA,2633,27986,0.0941
2019,1,NORTE DE SANTANDER,GRAMALOTE,78,7524,0.0104
2019,2,CUNDINAMARCA,VILLAPINZON,717,17796,0.0403
2018,4,BOYACA,BUENAVISTA,36,4409,0.0082
2019,1,ANTIOQUIA,VALPARAISO,442,6462,0.0684
2018,4,SANTANDER,EL GUACAMAYO,70,2167,0.0323
2019,4,HUILA,LA ARGENTINA,292,13021,0.0224
2019,4,HUILA,OPORAPA,111,11779,0.0094
2019,3,SANTANDER,CABRERA,38,1983,0.0192
2019,4,RISARALDA,MARSELLA,570,16782,0.034
2018,4,BOYACA,SANTA SOFIA,48,3179,0.0151
2019,1,CASANARE,SAN LUIS DE PALENQUE,103,8378,0.0123
2019,2,TOLIMA,DOLORES,203,8250,0.0246
2018,3,NARINO,IPIALES,7533,116136,0.0649
2019,2,NORTE DE SANTANDER,CACHIRA,12,11096,0.0011
2019,2,NORTE DE SANTANDER,MUTISCUA,49,4373,0.0112
2019,3,BOLIVAR,MARIA LA BAJA,522,47389,0.011
2019,1,PUTUMAYO,PUERTO GUZMAN,51,36052,0.0014
2019,4,CHOCO,QUIBDO,16972,130042,0.1305
2020,1,BOLIVAR,MARGARITA,34,11110,0.0031
2018,3,CUNDINAMARCA,EL PENON,53,4681,0.0113
2019,1,CORDOBA,AYAPEL,1872,47057,0.0398
2018,3,ANTIOQUIA,RIONEGRO,31546,135465,0.2329
2019,4,BOLIVAR,EL GUAMO,54,8825,0.0061
2020,1,BOLIVAR,NOROSI,95,9953,0.0095
2019,1,HUILA,ISNOS,228,25463,0.009
2019,1,NORTE DE SANTANDER,LOURDES,66,4091,0.0161
2019,3,SANTANDER,ONZAGA,71,4111,0.0173
2020,1,BOYACA,PAEZ,51,3244,0.0157
2018,3,LA GUAJIRA,LA JAGUA DEL PILAR,5,3498,0.0014
2019,2,BOYACA,SORACA,60,6015,0.01
2018,3,NARINO,SANDONA,428,20773,0.0206
2019,2,SANTANDER,SURATA,45,3977,0.0113
2019,4,AMAZONAS,EL ENCANTO,6,2077,0.0029
2019,3,ANTIOQUIA,TAMESIS,1240,16193,0.0766
2019,1,CUNDINAMARCA,CACHIPAY,114,10324,0.011
2018,4,GUAINIA,BARRANCO MINAS,2,8088,2e-04
2019,2,NARINO,IMUES,164,7530,0.0218
2019,1,CALDAS,BELALCAZAR,161,10634,0.0151
2018,3,BOYACA,BERBEO,39,1596,0.0244
2019,2,CAUCA,CALDONO,302,40898,0.0074
2020,1,AMAZONAS,PUERTO SANTANDER,0,1772,0
2018,3,VALLE DEL CAUCA,RIOFRIO,220,15554,0.0141
2019,1,BOLIVAR,REGIDOR,144,6983,0.0206
2019,2,NORTE DE SANTANDER,BUCARASICA,34,6472,0.0053
2018,4,BOLIVAR,CLEMENCIA,437,14511,0.0301
2018,3,CALDAS,VITERBO,954,12734,0.0749
2018,3,SANTANDER,CABRERA,27,1937,0.0139
2019,2,CUNDINAMARCA,EL ROSAL,966,23417,0.0413
2018,4,ATLANTICO,SOLEDAD,59783,603999,0.099
2020,1,ANTIOQUIA,RETIRO,5995,24757,0.2422
2018,4,BOYACA,SOCOTA,63,7298,0.0086
2019,3,CORDOBA,SAHAGUN,6579,109052,0.0603
2018,4,CUNDINAMARCA,MANTA,50,3737,0.0134
2019,3,BOYACA,VENTAQUEMADA,213,15920,0.0134
2019,4,HUILA,SALADOBLANCO,12,10502,0.0011
2019,4,VALLE DEL CAUCA,ANDALUCIA,1890,22515,0.0839
2019,3,BOYACA,MOTAVITA,55,5641,0.0098
2018,4,ANTIOQUIA,GUARNE,7030,55121,0.1275
2019,4,BOLIVAR,TIQUISIO,37,18584,0.002
2019,2,CUNDINAMARCA,CHIA,35351,141308,0.2502
2019,3,CASANARE,TAURAMENA,1542,24445,0.0631
2019,3,CAUCA,SANTANDER DE QUILICHAO,8913,111789,0.0797
2018,3,META,CUBARRAL,148,6963,0.0213
2019,4,ANTIOQUIA,YARUMAL,5107,42116,0.1213
2019,4,CAUCA,PATIA,587,37183,0.0158
2018,4,SANTANDER,AGUADA,27,1855,0.0146
2019,2,ANTIOQUIA,ANGOSTURA,362,11462,0.0316
2019,2,NARINO,RICAURTE,155,19885,0.0078
2018,3,BOLIVAR,BARRANCO DE LOBA,201,14836,0.0135
2019,4,NARINO,SAN LORENZO,29,18435,0.0016
2019,4,CASANARE,OROCUE,23,12514,0.0018
2019,3,NARINO,SAMANIEGO,436,28380,0.0154
2018,4,BOLIVAR,MORALES,239,22259,0.0107
2020,1,ANTIOQUIA,YARUMAL,4790,42678,0.1122
2020,1,SANTANDER,GALAN,62,2891,0.0214
2018,4,SUCRE,GALERAS,28,21982,0.0013
2018,3,SUCRE,SAN LUIS DE SINCE,670,30773,0.0218
2019,4,ANTIOQUIA,ANZA,178,7085,0.0251
2019,2,BOLIVAR,NOROSI,38,9587,0.004
2019,4,NARINO,POTOSI,27,10197,0.0026
2018,4,ANTIOQUIA,FRONTINO,1152,20739,0.0555
2019,2,SANTANDER,GUACA,68,5900,0.0115
2019,3,SUCRE,GALERAS,22,22673,0.001
2019,1,NORTE DE SANTANDER,SANTIAGO,24,3537,0.0068
2018,3,MAGDALENA,SANTA BARBARA DE PINTO,8,10575,8e-04
2020,1,PUTUMAYO,LEGUIZAMO,566,29494,0.0192
2018,4,VALLE DEL CAUCA,JAMUNDI,27769,159877,0.1737
2019,1,CUNDINAMARCA,SIBATE,4189,35102,0.1193
2019,3,VALLE DEL CAUCA,EL AGUILA,215,8696,0.0247
2019,3,NARINO,RICAURTE,152,19885,0.0076
2019,4,CAQUETA,ALBANIA,19,4491,0.0042
2018,3,CAQUETA,CURILLO,13,7593,0.0017
2019,4,TOLIMA,SAN ANTONIO,64,12691,0.005
2019,2,BOYACA,CHIQUINQUIRA,5049,57101,0.0884
2019,2,QUINDIO,SALENTO,512,9399,0.0545
2019,2,CUNDINAMARCA,CABRERA,99,4885,0.0203
2019,2,SANTANDER,PALMAS DEL SOCORRO,34,2584,0.0132
2019,2,BOLIVAR,SAN PABLO,882,28043,0.0315
2019,4,ANTIOQUIA,BRICENO,361,8065,0.0448
2020,1,RISARALDA,SANTA ROSA DE CABAL,12355,79372,0.1557
2020,1,NARINO,BELEN,30,6301,0.0048
2019,2,ANTIOQUIA,COCORNA,772,15042,0.0513
2019,2,SANTANDER,CABRERA,29,1983,0.0146
2018,4,SANTANDER,OIBA,103,10800,0.0095
2018,3,QUINDIO,GENOVA,202,7516,0.0269
2019,4,TOLIMA,PURIFICACION,1131,23527,0.0481
2019,4,CUNDINAMARCA,SOPO,3799,27456,0.1384
2018,4,HUILA,PALERMO,1102,26279,0.0419
2020,1,ANTIOQUIA,SEGOVIA,7533,39379,0.1913
2019,4,ANTIOQUIA,MONTEBELLO,266,6635,0.0401
2018,3,ATLANTICO,SABANAGRANDE,1330,32334,0.0411
2018,4,BOYACA,COMBITA,175,12970,0.0135
2019,1,NARINO,BUESACO,166,23909,0.0069
2018,3,TOLIMA,GUAMO,1635,32940,0.0496
2019,1,CUNDINAMARCA,GRANADA,79,7566,0.0104
2019,3,BOLIVAR,SIMITI,312,18678,0.0167
2018,4,ANTIOQUIA,EL BAGRE,2865,51862,0.0552
2018,3,ANTIOQUIA,LA ESTRELLA,16381,71545,0.229
2018,4,HUILA,ALTAMIRA,41,4275,0.0096
2019,4,SANTANDER,BETULIA,37,6003,0.0062
2019,1,TOLIMA,GUAMO,1718,32826,0.0523
2018,3,ANTIOQUIA,BETANIA,516,10323,0.05
2019,4,NARINO,EL PENOL,15,7443,0.002
2019,4,NARINO,OSPINA,13,7039,0.0018
2018,3,CALDAS,RISARALDA,225,10815,0.0208
2018,3,SANTANDER,JORDAN,15,1314,0.0114
2019,4,CALDAS,NEIRA,515,21040,0.0245
2018,3,BOLIVAR,MARIA LA BAJA,429,46112,0.0093
2019,4,BOYACA,MUZO,47,8466,0.0056
2019,4,BOYACA,BETEITIVA,9,1943,0.0046
2018,3,BOYACA,SORA,34,3019,0.0113
2019,1,NARINO,EL TABLON DE GOMEZ,57,14296,0.004
2018,3,VALLE DEL CAUCA,DAGUA,3887,48443,0.0802
2018,3,SANTANDER,EL PLAYON,294,13713,0.0214
2019,1,META,EL CASTILLO,105,7619,0.0138
2019,2,NARINO,BELEN,118,6311,0.0187
2019,4,ANTIOQUIA,ANGOSTURA,379,11462,0.0331
2019,2,NORTE DE SANTANDER,SANTIAGO,29,3537,0.0082
2019,2,CUNDINAMARCA,ANAPOIMA,746,15315,0.0487
2020,1,META,SAN MARTIN,1678,26499,0.0633
2020,1,VAUPES,PAPUNAUA,0,776,0
2020,1,NARINO,PROVIDENCIA,15,5553,0.0027
2018,4,CAUCA,INZA,139,28879,0.0048
2019,1,CASANARE,CHAMEZA,47,2571,0.0183
2018,3,CAQUETA,PUERTO RICO,534,26517,0.0201
2018,3,NORTE DE SANTANDER,SILOS,49,6162,0.008
2018,4,QUINDIO,CIRCASIA,3646,28162,0.1295
2019,1,MAGDALENA,PEDRAZA,12,9225,0.0013
2020,1,ATLANTICO,PONEDERA,144,25728,0.0056
2019,1,BOYACA,FLORESTA,84,3240,0.0259
2018,3,BOYACA,JENESANO,147,7200,0.0204
2018,3,CAUCA,ROSAS,56,11475,0.0049
2019,3,VALLE DEL CAUCA,LA CUMBRE,489,16422,0.0298
2019,3,CUNDINAMARCA,GUTIERREZ,76,3478,0.0219
2019,2,VALLE DEL CAUCA,EL AGUILA,245,8696,0.0282
2019,3,AMAZONAS,LA CHORRERA,42,2947,0.0143
2019,4,SANTANDER,BARRANCABERMEJA,37757,207494,0.182
2018,3,SANTANDER,PINCHOTE,291,5162,0.0564
2018,4,NARINO,CORDOBA,177,15516,0.0114
2019,3,CUNDINAMARCA,LA VEGA,899,17830,0.0504
2019,4,NORTE DE SANTANDER,OCANA,10007,124603,0.0803
2019,1,NARINO,PUPIALES,318,17334,0.0183
2019,3,ANTIOQUIA,JARDIN,1252,14662,0.0854
2019,4,BOYACA,PAUNA,45,7198,0.0063
2019,4,CALDAS,SUPIA,959,29021,0.033
2018,3,CUNDINAMARCA,RICAURTE,995,12881,0.0772
2018,3,CUNDINAMARCA,ZIPAQUIRA,22405,130537,0.1716
2019,2,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,95,12340,0.0077
2019,3,BOLIVAR,ZAMBRANO,280,12113,0.0231
2018,3,SANTANDER,SAN ANDRES,170,8683,0.0196
2020,1,ANTIOQUIA,CHIGORODO,6654,59836,0.1112
2018,4,NARINO,BELEN,109,6322,0.0172
2018,3,VALLE DEL CAUCA,ROLDANILLO,4087,36797,0.1111
2020,1,CORDOBA,CANALETE,65,15437,0.0042
2019,3,BOYACA,RAMIRIQUI,523,9988,0.0524
2019,1,META,SAN CARLOS DE GUAROA,315,12598,0.025
2019,2,BOYACA,CALDAS,32,3127,0.0102
2019,1,VAUPES,CARURU,6,3056,0.002
2018,4,QUINDIO,BUENAVISTA,69,3095,0.0223
2018,3,NARINO,COLON,151,8526,0.0177
2020,1,BOLIVAR,SAN JUAN NEPOMUCENO,1229,38529,0.0319
2020,1,MAGDALENA,ARACATACA,786,41492,0.0189
2018,3,NARINO,SAN BERNARDO,134,9202,0.0146
2018,3,SANTANDER,LEBRIJA,1454,41835,0.0348
2018,3,CAUCA,MERCADERES,44,22688,0.0019
2018,4,NORTE DE SANTANDER,SAN CAYETANO,38,6978,0.0054
2019,3,CAUCA,PURACE,23,17423,0.0013
2019,3,ANTIOQUIA,ENTRERRIOS,1396,11465,0.1218
2019,3,ANTIOQUIA,BETULIA,833,15736,0.0529
2019,2,HUILA,PITAL,352,13851,0.0254
2018,4,GUAINIA,MORICHAL,0,908,0
2019,1,BOYACA,JENESANO,169,7274,0.0232
2019,3,CORDOBA,AYAPEL,1748,47057,0.0371
2019,4,CESAR,SAN MARTIN,457,27823,0.0164
2019,2,CHOCO,UNION PANAMERICANA,24,6909,0.0035
2018,4,BOYACA,GARAGOA,545,17932,0.0304
2020,1,PUTUMAYO,SAN MIGUEL,112,19434,0.0058
2019,3,ANTIOQUIA,ANZA,188,7085,0.0265
2018,4,RISARALDA,MISTRATO,182,16950,0.0107
2018,3,CAUCA,BOLIVAR,133,38048,0.0035
2019,1,CUNDINAMARCA,SAN FRANCISCO,889,11316,0.0786
2019,3,ANTIOQUIA,TURBO,10631,127565,0.0833
2019,4,CUNDINAMARCA,EL COLEGIO,435,25047,0.0174
2018,4,CAUCA,SUCRE,18,9489,0.0019
2019,1,GUAINIA,LA GUADALUPE,0,288,0
2019,3,RISARALDA,MISTRATO,249,17110,0.0146
2018,3,BOYACA,TOGsI,41,4335,0.0095
2018,3,CUNDINAMARCA,BOJACA,316,9913,0.0319
2019,4,CUNDINAMARCA,GUAYABAL DE SIQUIMA,69,4587,0.015
2019,2,ARAUCA,ARAUCA,7650,91875,0.0833
2020,1,NORTE DE SANTANDER,LOURDES,84,4191,0.02
2018,3,ANTIOQUIA,SAN ANDRES DE CUERQUIA,393,7235,0.0543
2019,1,VAUPES,MITU,53,31302,0.0017
2019,3,BOLIVAR,SAN JACINTO DEL CAUCA,96,10305,0.0093
2020,1,CAUCA,LA VEGA,21,24642,9e-04
2019,2,BOYACA,OTANCHE,201,8002,0.0251
2018,3,CAUCA,JAMBALO,54,17841,0.003
2019,3,ANTIOQUIA,VALDIVIA,605,13950,0.0434
2019,1,ANTIOQUIA,NECOCLI,1601,43257,0.037
2019,3,BOYACA,SAMACA,517,18588,0.0278
2019,4,MAGDALENA,ARACATACA,514,40726,0.0126
2019,2,ANTIOQUIA,MEDELLIN,606073,2483545,0.244
2019,2,SANTANDER,ZAPATOCA,304,9507,0.032
2019,4,SANTANDER,CHARALA,158,12256,0.0129
2019,4,CUNDINAMARCA,LA VEGA,809,17830,0.0454
2019,2,ANTIOQUIA,SAN LUIS,954,13035,0.0732
2018,3,ARAUCA,ARAUCA,6813,85585,0.0796
2018,4,CUNDINAMARCA,TIBACUY,35,4335,0.0081
2019,1,TOLIMA,COELLO,160,8286,0.0193
2019,3,CUNDINAMARCA,GACHALA,139,4386,0.0317
2019,3,CORDOBA,MONTELIBANO,4085,83908,0.0487
2019,4,ATLANTICO,SOLEDAD,76923,638065,0.1206
2018,3,ARAUCA,ARAUQUITA,859,49841,0.0172
2019,4,BOYACA,SAN EDUARDO,26,1676,0.0155
2019,1,NARINO,LA UNION,375,31803,0.0118
2019,4,SANTANDER,SURATA,26,3977,0.0065
2019,3,NARINO,SANTA BARBARA,19,13331,0.0014
2019,1,NORTE DE SANTANDER,EL TARRA,252,21145,0.0119
2018,3,CASANARE,RECETOR,25,1634,0.0153
2019,2,VALLE DEL CAUCA,EL DOVIO,232,8711,0.0266
2020,1,BOYACA,GACHANTIVA,19,2778,0.0068
2019,2,SAN ANDRES Y PROVIDENCIA,SAN ANDRES,4166,56358,0.0739
2019,3,BOYACA,TUNUNGUA,31,1559,0.0199
2018,4,QUINDIO,QUIMBAYA,3066,30751,0.0997
2019,3,CORDOBA,PLANETA RICA,4472,64465,0.0694
2019,4,ANTIOQUIA,NARINO,344,9997,0.0344
2020,1,SANTANDER,BETULIA,45,6061,0.0074
2019,1,ANTIOQUIA,PUERTO NARE,1102,14384,0.0766
2019,4,CUNDINAMARCA,PUERTO SALGAR,652,16058,0.0406
2020,1,PUTUMAYO,PUERTO CAICEDO,51,16007,0.0032
2018,4,TOLIMA,GUAMO,1679,32940,0.051
2019,1,ANTIOQUIA,CAUCASIA,11147,93044,0.1198
2019,4,PUTUMAYO,PUERTO CAICEDO,33,16033,0.0021
2019,3,BOYACA,SAN EDUARDO,51,1676,0.0304
2019,3,ANTIOQUIA,MUTATA,1050,14196,0.074
2018,3,CUNDINAMARCA,MACHETA,76,6124,0.0124
2019,3,NORTE DE SANTANDER,CACHIRA,25,11096,0.0023
2020,1,MAGDALENA,ARIGUANI,19,31794,6e-04
2019,3,META,GUAMAL,346,14298,0.0242
2019,1,ATLANTICO,MALAMBO,10385,134468,0.0772
2019,2,CASANARE,SABANALARGA,146,3583,0.0407
2019,2,ATLANTICO,JUAN DE ACOSTA,418,21971,0.019
2019,4,SANTANDER,HATO,15,2349,0.0064
2019,2,BOYACA,SUTAMARCHAN,90,6164,0.0146
2018,4,ANTIOQUIA,SAN FRANCISCO,217,5648,0.0384
2020,1,SANTANDER,PALMAR,18,1407,0.0128
2018,4,TOLIMA,SANTA ISABEL,151,5769,0.0262
2019,2,BOYACA,IZA,95,1972,0.0482
2018,4,CASANARE,NUNCHIA,104,8826,0.0118
2018,4,ANTIOQUIA,PUERTO NARE,1080,14380,0.0751
2018,3,CASANARE,PAZ DE ARIPORO,1852,36277,0.0511
2019,2,ATLANTICO,REPELON,238,27249,0.0087
2019,1,CHOCO,ATRATO,26,6145,0.0042
2018,4,ANTIOQUIA,SABANALARGA,327,9032,0.0362
2019,2,SANTANDER,SANTA HELENA DEL OPON,31,3393,0.0091
2019,3,CHOCO,UNION PANAMERICANA,29,6909,0.0042
2019,2,CALDAS,BELALCAZAR,156,10634,0.0147
2019,1,CUNDINAMARCA,AGUA DE DIOS,563,11966,0.047
2019,1,ANTIOQUIA,LA CEJA,12735,66746,0.1908
2018,3,CHOCO,RIO QUITO,891,8236,0.1082
2018,3,ARAUCA,CRAVO NORTE,210,3925,0.0535
2019,2,SANTANDER,BUCARAMANGA,140137,595635,0.2353
2019,1,ATLANTICO,TUBARA,38,18190,0.0021
2018,4,CALDAS,SAMANA,400,20454,0.0196
2019,4,BOYACA,RAQUIRA,58,7958,0.0073
2018,4,BOLIVAR,MONTECRISTO,20,16389,0.0012
2020,1,BOYACA,SAN EDUARDO,18,1660,0.0108
2018,4,RISARALDA,DOSQUEBRADAS,46496,217178,0.2141
2020,1,PUTUMAYO,SAN FRANCISCO,34,5567,0.0061
2019,2,TOLIMA,ROVIRA,372,21556,0.0173
2018,3,HUILA,LA ARGENTINA,439,12866,0.0341
2019,2,RISARALDA,BELEN DE UMBRIA,1179,24660,0.0478
2018,4,CUNDINAMARCA,SOPO,3788,25782,0.1469
2018,3,SANTANDER,SAN BENITO,42,2950,0.0142
2020,1,VALLE DEL CAUCA,ALCALA,1055,14295,0.0738
2018,4,ATLANTICO,SANTO TOMAS,1906,29829,0.0639
2018,4,CAUCA,PURACE,69,17272,0.004
2019,4,SANTANDER,FLORIAN,17,5569,0.0031
2019,4,BOLIVAR,EL CARMEN DE BOLIVAR,1688,71428,0.0236
2019,4,SAN ANDRES Y PROVIDENCIA,SAN ANDRES,4058,56358,0.072
2019,1,CALDAS,RIOSUCIO,2238,51371,0.0436
2019,1,BOYACA,SUSACON,41,2704,0.0152
2018,4,SAN ANDRES Y PROVIDENCIA,PROVIDENCIA,100,5989,0.0167
2018,3,ANTIOQUIA,CAICEDO,259,8297,0.0312
2018,3,HUILA,HOBO,35,7286,0.0048
2019,1,VALLE DEL CAUCA,YOTOCO,1259,16117,0.0781
2019,4,BOYACA,BOYACA,50,5103,0.0098
2018,4,VALLE DEL CAUCA,PALMIRA,60743,349294,0.1739
2018,3,CESAR,AGUSTIN CODAZZI,3695,60768,0.0608
2019,2,BOLIVAR,HATILLO DE LOBA,107,12699,0.0084
2018,4,NORTE DE SANTANDER,PUERTO SANTANDER,290,8502,0.0341
2019,3,ATLANTICO,PALMAR DE VARELA,944,30094,0.0314
2018,4,CUNDINAMARCA,BOJACA,314,9913,0.0317
2018,4,CESAR,BECERRIL,48,21611,0.0022
2019,4,ANTIOQUIA,ALEJANDRIA,303,4669,0.0649
2019,2,NARINO,ALDANA,105,7375,0.0142
2018,3,NARINO,EL TAMBO,161,14283,0.0113
2019,2,TOLIMA,FRESNO,617,31124,0.0198
2019,2,META,CASTILLA LA NUEVA,588,15186,0.0387
2019,1,RISARALDA,DOSQUEBRADAS,47421,220771,0.2148
2019,3,CAUCA,BOLIVAR,37,37327,0.001
2019,3,VALLE DEL CAUCA,BUGALAGRANDE,2018,24400,0.0827
2019,4,NORTE DE SANTANDER,CONVENCION,278,19131,0.0145
2019,2,CASANARE,MANI,974,17359,0.0561
2019,2,NARINO,LA CRUZ,594,18697,0.0318
2018,3,ANTIOQUIA,BRICENO,373,8039,0.0464
2020,1,SANTANDER,SUCRE,24,7064,0.0034
2019,2,CESAR,SAN DIEGO,48,19818,0.0024
2019,3,ANTIOQUIA,CAMPAMENTO,344,9202,0.0374
2018,4,NARINO,SANTA BARBARA,6,13427,4e-04
2018,4,TOLIMA,FLANDES,2865,28389,0.1009
2019,3,ANTIOQUIA,CONCEPCION,273,4760,0.0574
2019,4,NARINO,BELEN,29,6311,0.0046
2018,3,RISARALDA,APIA,263,12406,0.0212
2019,1,CALDAS,MARULANDA,101,2565,0.0394
2019,2,ANTIOQUIA,MARINILLA,8127,66399,0.1224
2019,1,VALLE DEL CAUCA,CALIMA,657,18171,0.0362
2018,4,CESAR,TAMALAMEQUE,33,15339,0.0022
2019,4,NORTE DE SANTANDER,SILOS,49,6380,0.0077
2020,1,TOLIMA,VALLE DE SAN JUAN,28,5360,0.0052
2018,4,CORDOBA,LA APARTADA,662,14866,0.0445
2019,4,VALLE DEL CAUCA,EL DOVIO,73,8711,0.0084
2019,4,ANTIOQUIA,ANDES,3242,43713,0.0742
2018,3,VALLE DEL CAUCA,YOTOCO,1176,16019,0.0734
2020,1,SANTANDER,GIRON,28082,171904,0.1634
2018,3,BOYACA,PAYA,38,2593,0.0147
2019,2,CUNDINAMARCA,VIOTA,238,13508,0.0176
2018,3,CUNDINAMARCA,ANAPOIMA,509,14519,0.0351
2019,2,MAGDALENA,TENERIFE,20,13354,0.0015
2019,1,ANTIOQUIA,VIGIA DEL FUERTE,193,9265,0.0208
2018,4,GUAINIA,MAPIRIPANA,0,1022,0
2018,3,CUNDINAMARCA,CHAGUANI,79,4182,0.0189
2020,1,BOYACA,LABRANZAGRANDE,22,3493,0.0063
2019,1,NORTE DE SANTANDER,EL CARMEN,25,13648,0.0018
2018,3,CORDOBA,TIERRALTA,2708,92349,0.0293
2019,4,CORDOBA,MONTERIA,57647,498858,0.1156
2019,4,BOYACA,SATIVASUR,14,1100,0.0127
2018,3,CUNDINAMARCA,VENECIA,64,4218,0.0152
2019,4,BOLIVAR,SAN PABLO,274,28043,0.0098
2019,3,CASANARE,TAMARA,105,6671,0.0157
2018,4,SANTANDER,CONTRATACION,203,3679,0.0552
2019,1,CUNDINAMARCA,BOJACA,306,10524,0.0291
2018,3,SANTANDER,MALAGA,1505,20945,0.0719
2019,2,ANTIOQUIA,GIRALDO,197,5652,0.0349
2019,1,ANTIOQUIA,RETIRO,5755,24185,0.238
2020,1,CUNDINAMARCA,UBAQUE,95,7067,0.0134
2020,1,SANTANDER,SAN JOSE DE MIRANDA,59,4289,0.0138
2019,2,CESAR,SAN MARTIN,463,27823,0.0166
2019,4,TOLIMA,ICONONZO,155,11891,0.013
2020,1,BOLIVAR,TIQUISIO,49,19034,0.0026
2019,4,ATLANTICO,SABANAGRANDE,1479,33858,0.0437
2020,1,PUTUMAYO,MOCOA,3377,58938,0.0573
2020,1,META,ACACIAS,13514,91829,0.1472
2020,1,TOLIMA,ALPUJARRA,42,4458,0.0094
2019,3,BOYACA,TUNJA,44263,176347,0.251
2019,4,CESAR,TAMALAMEQUE,28,15790,0.0018
2019,4,CORDOBA,SAN PELAYO,1055,52481,0.0201
2019,3,BOLIVAR,ARROYOHONDO,75,8504,0.0088
2019,1,TOLIMA,SANTA ISABEL,153,5710,0.0268
2020,1,AMAZONAS,TARAPACA,22,3939,0.0056
2019,2,BOYACA,CHIQUIZA,28,4713,0.0059
2019,4,NARINO,POLICARPA,17,9827,0.0017
2019,1,CAUCA,LOPEZ,31,18761,0.0017
2018,3,CHOCO,MEDIO SAN JUAN,27,10579,0.0026
2019,1,HUILA,RIVERA,316,24757,0.0128
2019,1,SANTANDER,CHIPATA,38,5084,0.0075
2018,3,BOYACA,GAMEZA,90,4850,0.0186
2020,1,CESAR,EL PASO,631,40858,0.0154
2018,4,NARINO,EL CHARCO,12,22505,5e-04
2020,1,CORDOBA,AYAPEL,1485,47247,0.0314
2019,1,VICHADA,SANTA ROSALIA,12,4130,0.0029
