Ano,Trimestre,Departamento,Municipio,N Accesos fijos a internet,poblacion Dane,Indice
2019,1,MAGDALENA,CONCORDIA,7,10908,6e-04
2019,4,CORDOBA,PUERTO LIBERTADOR,208,42835,0.0049
2020,1,ANTIOQUIA,TITIRIBI,525,10719,0.049
2020,1,SANTANDER,SURATA,26,3987,0.0065
2018,4,CESAR,PUEBLO BELLO,20,27007,7e-04
2018,3,SUCRE,COLOSO,15,8623,0.0017
2019,1,CAUCA,ROSAS,24,11495,0.0021
2018,3,ANTIOQUIA,ARGELIA,288,7689,0.0375
2020,1,GUAINIA,PUERTO COLOMBIA,0,1984,0
2019,3,BOYACA,ALMEIDA,33,1845,0.0179
2019,3,CORDOBA,CHIMA,48,17738,0.0027
2019,3,TOLIMA,CASABIANCA,103,6326,0.0163
2019,3,CUNDINAMARCA,FUNZA,20857,99387,0.2099
2019,2,CORDOBA,SAN CARLOS,110,27174,0.004
2018,3,RISARALDA,LA CELIA,116,7514,0.0154
2018,3,CUNDINAMARCA,GUTIERREZ,77,3410,0.0226
2018,4,CUNDINAMARCA,CARMEN DE CARUPA,92,7580,0.0121
2019,2,CUNDINAMARCA,GACHALA,131,4386,0.0299
2018,3,SANTANDER,CALIFORNIA,40,2130,0.0188
2019,2,BOYACA,BUENAVISTA,41,4396,0.0093
2018,4,CAQUETA,CARTAGENA DEL CHAIRA,22,30399,7e-04
2018,4,LA GUAJIRA,EL MOLINO,7,7185,0.001
2019,1,ANTIOQUIA,BETULIA,751,15736,0.0477
2019,4,SANTANDER,PALMAR,18,1386,0.013
2018,3,CHOCO,NOVITA,29,9153,0.0032
2019,3,VALLE DEL CAUCA,ANDALUCIA,2003,22515,0.089
2018,3,TOLIMA,COELLO,157,8248,0.019
2019,3,ANTIOQUIA,DON MATIAS,2596,19332,0.1343
2019,1,LA GUAJIRA,RIOHACHA,19604,195747,0.1001
2018,4,LA GUAJIRA,MAICAO,9377,170582,0.055
2020,1,CORDOBA,BUENAVISTA,94,21451,0.0044
2020,1,HUILA,VILLAVIEJA,128,7240,0.0177
2019,3,NARINO,SAN LORENZO,72,18435,0.0039
2018,3,CUNDINAMARCA,SAN BERNARDO,77,8487,0.0091
2019,1,CESAR,PUEBLO BELLO,9,28298,3e-04
2019,3,BOYACA,TOCA,175,8831,0.0198
2019,1,CAUCA,ARGELIA,47,26376,0.0018
2018,3,CESAR,SAN DIEGO,219,19022,0.0115
2019,2,SANTANDER,CHARALA,217,12256,0.0177
2019,3,LA GUAJIRA,SAN JUAN DEL CESAR,2215,48387,0.0458
2019,3,TOLIMA,COYAIMA,635,22610,0.0281
2019,4,ANTIOQUIA,HELICONIA,222,5400,0.0411
2020,1,CAQUETA,PUERTO RICO,578,26282,0.022
2018,4,NARINO,CONSACA,93,13784,0.0067
2019,2,BOYACA,LA UVITA,95,2831,0.0336
2019,1,TOLIMA,COYAIMA,577,22610,0.0255
2018,3,CUNDINAMARCA,VILLETA,2539,26873,0.0945
2019,1,SANTANDER,LOS SANTOS,81,14485,0.0056
2019,4,BOYACA,MONIQUIRA,993,22821,0.0435
2019,1,ANTIOQUIA,CANASGORDAS,785,15490,0.0507
2018,3,ANTIOQUIA,OLAYA,166,3127,0.0531
2019,4,META,PUERTO CONCORDIA,42,8484,0.005
2018,4,BOYACA,CAMPOHERMOSO,57,3121,0.0183
2019,3,QUINDIO,CIRCASIA,3808,28631,0.133
2019,4,SUCRE,SAN JUAN DE BETULIA,30,13892,0.0022
